arch_idx,cifar10,cifar100,ImageNet16-120
0,85.79,51.97999997558594,25.766666610717774
2,85.84,54.45999995727539,26.699999994913735
3,86.66,57.99999994506836,28.23333327738444
4,88.09,59.97999995117188,31.13333331298828
5,90.93,66.42000001220703,38.79999991861979
6,92.68,68.59999998779297,39.666666717529296
7,91.77,67.3399999633789,38.699999867757164
8,91.96,68.15999991455078,40.63333335367839
9,86.34,58.139999981689456,27.56666658528646
10,10.0,0.9999999992370605,0.8333333314259846
12,10.0,0.9999999996185303,0.8333333307902018
13,91.6,67.2,38.00000001017253
14,92.0,67.20000003662109,38.73333332316081
15,58.68,32.759999993896486,13.299999969482421
16,93.12,69.10000002441406,43.799999888102214
17,89.47,64.28000000610352,35.89999994913737
18,91.48,64.77999994506835,37.66666670735677
19,88.65,62.79999996337891,30.033333251953124
20,90.08,63.51999996337891,34.26666664632162
21,92.21,69.67999997558594,41.89999987792969
22,89.82,63.159999938964845,36.533333363850915
24,86.71,54.66,28.233333348592122
25,86.7,58.679999975585936,28.299999923706054
26,90.06,65.23999993896484,37.86666663614909
27,90.49,64.23999997558593,35.46666668701172
28,86.3,53.87999996337891,26.63333334350586
29,88.37,62.15999992675781,30.200000015258787
30,91.83,67.17999992675782,38.566666697184246
31,91.07,64.49999995117187,36.10000006103515
32,92.47,68.36,41.999999837239585
33,92.0,68.42000002441407,42.96666668701172
34,91.8,68.00000001220702,38.36666663614909
35,91.04,66.54,37.866666727701826
36,91.27,65.01999997558593,37.89999992879232
37,89.29,65.2999998779297,35.266666666666666
38,92.52,67.91999986572266,33.79999998982748
39,89.25,63.02000003662109,33.099999928792315
40,75.18,46.73999996337891,15.033333282470704
41,88.23,61.87999998168945,31.83333319091797
42,93.68,70.21999986572266,44.39999987792969
43,91.91,66.97999992675781,39.633333384195964
44,79.99,48.259999993896486,17.89999998219808
45,89.84,64.81999992675782,33.33333332316081
46,91.05,65.43999997558593,38.83333339436849
47,91.03,66.59999998779297,36.86666669718424
48,86.01,57.29999994506836,28.900000010172526
49,91.51,65.31999995117188,37.666666534423825
51,88.1,61.76000001220703,30.500000061035156
52,93.19,70.2999999267578,43.66666661580404
53,52.08,10.639999993896485,10.933333338419596
54,91.03,66.11999998168945,39.499999908447265
55,86.93,58.45999997558594,28.4
56,93.48,69.39999997558594,43.199999877929685
57,76.2,46.759999993896486,15.99999993387858
58,63.36,33.83999997863769,13.999999972025554
59,88.64,62.26,31.93333331298828
60,89.18,64.59999999389649,33.933333267211914
61,88.65,62.94000003662109,31.533333267211916
62,92.25,68.35999995117187,40.03333332316081
63,92.6,69.3000000366211,41.500000040690104
66,75.75,46.69999998779297,15.366666681925455
68,91.31,66.91999991455079,38.633333180745446
69,93.73,70.78000006103515,44.43333336385091
70,91.87,67.1,38.59999986775716
71,90.61,64.12,37.166666666666664
72,86.54,57.91999994506836,28.533333292643228
73,89.75,61.45999998779297,32.86666665649414
74,10.0,0.9999999996185303,0.8333333326975505
75,73.29,45.380000012207034,14.600000010172526
76,87.2,55.98000002441406,29.133333297729493
77,93.23,68.96,43.39999994913737
78,91.98,66.81999994506836,39.533333180745444
79,91.83,67.29999998779297,39.066666717529294
80,92.24,68.89999995117188,43.166666595458985
83,85.52,53.45999999389648,24.833333267211913
84,91.59,65.45999997558594,36.69999989827474
85,90.74,67.21999993896485,37.599999908447266
86,92.27,68.71999998779297,41.79999991861979
87,79.19,44.45999995727539,22.733333302815755
88,88.5,62.73999998168945,33.03333317057292
89,91.99,66.76000006103516,40.86666664632161
90,90.06,65.61999987792969,38.299999877929686
91,89.94,64.20000006103515,36.76666667683919
92,90.98,66.44000004882813,37.9000000406901
93,91.32,65.17999998779297,36.100000040690105
94,87.41,57.52000001831055,29.23333326212565
95,68.83,39.859999963378904,13.933333318074544
96,89.66,63.20000003662109,34.83333329772949
97,88.59,61.99999995727539,31.599999923706054
98,89.58,63.41999991455078,33.33333331298828
99,94.01,70.86000006103515,43.133333180745446
101,87.98,59.479999993896485,34.20000002034505
102,92.56,69.59999998779297,42.73333330281576
103,92.5,68.33999992675781,40.766666666666666
104,10.0,0.9999999996185303,0.8333333320617676
105,10.0,0.9999999996185303,0.8333333314259846
106,75.25,46.079999975585935,15.966666648864747
107,87.58,60.61999996948242,31.26666655476888
108,10.0,0.9999999992370605,0.8333333326975505
109,93.37,69.72000004882813,45.40000005086263
110,90.6,66.11999997558594,35.43333319091797
111,93.49,70.75999987792969,45.39999994913737
112,92.13,66.97999992675781,40.56666668701172
113,87.09,55.09999998168945,28.166666646321616
114,90.43,64.29999999389648,34.59999988810221
115,90.15,63.279999963378906,35.333333170572914
116,92.36,68.64000001220703,42.233333394368486
118,79.97,48.88000001831055,19.666666631062824
119,92.18,68.8199999633789,43.56666662597656
120,10.0,0.9999999992370605,0.8333333320617676
121,91.65,67.64000002441406,39.866666687011715
122,89.61,65.96000001220703,35.06666655476888
123,84.28,52.87999998779297,21.533333353678387
124,92.29,66.71999992675781,39.19999988810221
125,89.72,65.11999992675781,36.43333332316081
126,84.6,51.399999975585935,25.099999938964842
127,88.66,62.079999926757814,31.999999938964844
128,92.27,68.44000002441406,41.36666664632161
130,92.09,67.66000006103516,40.26666653442383
131,86.3,57.39999994506836,22.86666658528646
132,92.12,67.57999996337891,39.633333201090494
133,93.11,70.01999989013672,43.533333241780596
134,89.91,65.58000003662109,38.33333330281575
135,91.76,66.87999995117187,39.299999938964845
139,90.3,64.74000004882812,36.39999989827474
140,92.19,67.40000000610351,41.63333326212565
141,89.96,65.1199999633789,37.83333330281575
142,92.52,68.1000000366211,41.60000001017253
143,91.23,68.63999993896485,39.53333333333333
144,86.55,56.279999963378906,29.03333326212565
145,90.18,64.48000004882813,33.06666650390625
146,86.0,54.69999996337891,27.533333267211916
148,92.36,67.5999999633789,40.400000030517575
149,90.22,65.66000004882812,36.59999983723959
150,88.25,61.21999996948242,33.06666656494141
151,78.14,44.27999995727539,22.566666625976563
152,91.94,68.49999993896485,42.16666661580404
153,93.17,71.63999989013672,44.06666668701172
154,91.22,63.99999992675781,37.76666657511393
155,86.8,57.81999999389649,31.666666666666668
156,87.23,56.82000001220703,30.033333257039388
157,50.63,10.36,9.099999972025554
158,92.74,69.31999987792969,41.00000001017253
159,89.23,64.17999998168945,33.13333329772949
160,86.43,55.39999996948242,26.933333251953126
161,90.57,66.38000004882812,36.43333337402344
162,91.69,66.44000006103515,38.966666697184245
163,85.99,57.58000001831055,25.3333332417806
165,92.7,69.01999986572265,41.7333332417806
166,88.53,61.86,32.666666631062824
167,88.89,63.84000002441406,33.89999991861979
169,88.47,61.47999994506836,30.466666615804037
170,88.97,60.94000002441406,32.633333272298174
172,10.0,0.9999999996185303,0.8333333307902018
173,86.89,57.11999996337891,14.699999933878582
174,92.02,67.65999997558593,41.93333338419596
175,86.75,61.04000000610352,29.066666600545247
176,88.59,62.35999993286133,31.600000061035157
177,86.9,58.799999993896485,31.000000015258788
178,91.33,67.27999993896485,41.999999979654945
179,91.99,66.83999992675781,38.29999989827474
180,93.06,69.71999989013672,44.60000001017253
181,89.17,64.25999991455078,33.79999990844727
182,10.0,0.9999999996185303,0.8333333320617676
183,85.28,53.960000024414065,25.99999996948242
184,91.65,67.27999987792968,31.799999964396157
185,90.84,64.10000000610351,35.46666658528646
186,86.57,57.94000003662109,27.033333257039388
187,88.52,63.13999991455078,34.06666660054525
